"","Service","City","Facility","State"
"1012","Community Based Outpatient Clinic","Dalhart","Dalhart VA Clinic","Texas"
"1013","Community Based Outpatient Clinic","Dallas","Dallas VA Clinic","Texas"
"1014","Community Based Outpatient Clinic","Dallas","Polk Street VA Clinic","Texas"
"1015","Community Based Outpatient Clinic","Decatur","Decatur VA Clinic","Texas"
"1016","Community Based Outpatient Clinic","Denton","Denton VA Clinic","Texas"
"1017","Community Based Outpatient Clinic","El Paso","El Paso Central VA Clinic","Texas"
"1018","Community Based Outpatient Clinic","El Paso","El Paso Eastside VA Clinic","Texas"
"1019","Community Based Outpatient Clinic","El Paso","El Paso Northeast VA Clinic","Texas"
"1020","Community Based Outpatient Clinic","El Paso","El Paso South Central VA Clinic","Texas"
"1021","Community Based Outpatient Clinic","El Paso","El Paso Westside VA Clinic","Texas"
"1022","Community Based Outpatient Clinic","Fort Stockton","Fort Stockton VA Clinic","Texas"
"1023","Community Based Outpatient Clinic","Galveston","Galveston County VA Clinic","Texas"
"1024","Community Based Outpatient Clinic","Granbury","Granbury VA Clinic","Texas"
"1025","Community Based Outpatient Clinic","Grand Prairie","Grand Prairie VA Clinic","Texas"
"1026","Community Based Outpatient Clinic","Greenville","Greenville VA Clinic","Texas"
"1027","Community Based Outpatient Clinic","Harlingen","Harlingen VA Clinic-Treasure Hills","Texas"
"1028","Community Based Outpatient Clinic","Houston","Houston Webster VA Clinic","Texas"
"1029","Community Based Outpatient Clinic","Katy","Katy VA Clinic","Texas"
"1030","Community Based Outpatient Clinic","LaGrange","LaGrange VA Clinic","Texas"
"1031","Community Based Outpatient Clinic","Lake Jackson","Lake Jackson VA Clinic","Texas"
"1032","Community Based Outpatient Clinic","Longview","Longview VA Clinic","Texas"
"1033","Community Based Outpatient Clinic","Lufkin","Charlie Wilson VA Outpatient Clinic","Texas"
"1034","Community Based Outpatient Clinic","New Braunfels","New Braunfels VA Clinic","Texas"
"1035","Community Based Outpatient Clinic","Odessa","Wilson and Young Medal of Honor VA Clinic","Texas"
"1036","Community Based Outpatient Clinic","Palestine","Palestine VA Clinic","Texas"
"1037","Community Based Outpatient Clinic","Plano","Plano VA Clinic","Texas"
"1038","Community Based Outpatient Clinic","Richmond","Richmond VA Clinic","Texas"
"1039","Community Based Outpatient Clinic","San Angelo","San Angelo VA Clinic","Texas"
"1040","Community Based Outpatient Clinic","San Antonio","Balcones Heights VA Clinic","Texas"
"1041","Community Based Outpatient Clinic","San Antonio","Data Point VA Clinic","Texas"
"1042","Community Based Outpatient Clinic","San Antonio","North Bexar County VA Clinic","Texas"
"1043","Community Based Outpatient Clinic","San Antonio","San Antonio VA Clinic","Texas"
"1044","Community Based Outpatient Clinic","San Antonio","San Antonio-Pecan Valley VA Clinic","Texas"
"1045","Community Based Outpatient Clinic","San Antonio","Southwest VA Clinic","Texas"
"1046","Community Based Outpatient Clinic","San Antonio","South Bexar County VA Clinic","Texas"
"1047","Community Based Outpatient Clinic","San Antonio","Shavano Park VA Clinic","Texas"
"1048","Community Based Outpatient Clinic","San Antonio","Walzem VA Clinic","Texas"
"1049","Community Based Outpatient Clinic","Seguin","Seguin VA Clinic","Texas"
"1050","Community Based Outpatient Clinic","Sheppard Air Force Base","Wichita Falls VA Clinic","Texas"
"1051","Community Based Outpatient Clinic","Sherman","Sherman VA Clinic","Texas"
"1052","Community Based Outpatient Clinic","Sugar Land","Sugar Land VA Clinic","Texas"
"1053","Community Based Outpatient Clinic","Stratford","Stamford VA Clinic","Texas"
"1054","Community Based Outpatient Clinic","Temple","Temple VA Clinic","Texas"
"1055","Community Based Outpatient Clinic","Texas City","Texas City VA Clinic","Texas"
"1056","Community Based Outpatient Clinic","Tyler","Tyler Broadway VA Clinic","Texas"
"1057","Community Based Outpatient Clinic","Tyler","Tyler Centennial VA Clinic","Texas"
"1058","Community Based Outpatient Clinic","Victoria","Victoria VA Clinic","Texas"
"1059","VA Medical Center","Salt Lake City","George E. Wahlen VA Medical Center","Utah"
"1060","Community Based Outpatient Clinic","Orem","Orem VA Clinic","Utah"
"1061","Community Based Outpatient Clinic","Price","Price VA Clinic","Utah"
"1062","Community Based Outpatient Clinic","Roosevelt","Roosevelt VA Clinic","Utah"
"1063","Community Based Outpatient Clinic","South Ogden","Ogden VA Clinic","Utah"
"1064","Community Based Outpatient Clinic","South Ogden","Weber County VA Clinic","Utah"
"1065","Community Based Outpatient Clinic","St. George","St. George VA Clinic","Utah"
"1066","Community Based Outpatient Clinic","West Valley City","Western Salt Lake VA Clinic","Utah"
"1067","VA Medical Center","White River Junction","White River Junction VA Medical Center","Vermont"
"1068","Community Based Outpatient Clinic","Bennington","Bennington CBOC","Vermont"
"1069","Community Based Outpatient Clinic","Brattleboro","Brattleboro CBOC","Vermont"
"1070","Community Based Outpatient Clinic","Burlington","Burlington Lakeside CBOC","Vermont"
"1071","Community Based Outpatient Clinic","Newport","Newport CBOC","Vermont"
"1072","Community Based Outpatient Clinic","Rutland","Rutland CBOC","Vermont"
"1073","VA Medical Center","Hampton","Hampton VA Medical Center","Virginia"
"1074","VA Medical Center","Richmond","Hunter Holmes McGuire VA Medical Center","Virginia"
"1075","VA Medical Center","Salem","Salem VA Medical Center","Virginia"
"1076","Community Based Outpatient Clinic","Bristol","Bristol VA Clinic","Virginia"
"1077","Community Based Outpatient Clinic","Charlottesville","Charlottesville VA Clinic","Virginia"
"1078","Community Based Outpatient Clinic","Chesapeake","Chesapeake VA Clinic","Virginia"
"1079","Community Based Outpatient Clinic","Danville","Danville VA Clinic","Virginia"
"1080","Community Based Outpatient Clinic","Emporia","Emporia VA Clinic","Virginia"
"1081","Community Based Outpatient Clinic","Fort Belvoir","Fort Belvoir VA Clinic","Virginia"
"1082","Community Based Outpatient Clinic","Fredericksburg","Fredericksburg VA Clinic","Virginia"
"1083","Community Based Outpatient Clinic","Fredericksburg","Fredericksburg 2 VA Clinic Southpoint","Virginia"
"1084","Community Based Outpatient Clinic","Harrisonburg","Harrisonburg VA Clinic","Virginia"
"1085","Community Based Outpatient Clinic","Jonesville","Jonesville VA Clinic","Virginia"
"1086","Community Based Outpatient Clinic","Lynchburg","Lynchburg VA Clinic","Virginia"
"1087","Community Based Outpatient Clinic","Marion","Marion VA Clinic","Virginia"
"1088","Community Based Outpatient Clinic","Norton","Norton VA Clinic","Virginia"
"1089","Community Based Outpatient Clinic","Staunton","Staunton VA Clinic","Virginia"
"1090","Community Based Outpatient Clinic","Tazewell","Tazewell VA Clinic","Virginia"
"1091","Community Based Outpatient Clinic","Vansant","Vansant VA Clinic","Virginia"
"1092","Community Based Outpatient Clinic","Virginia Beach","Virginia Beach VA Clinic","Virginia"
"1093","Community Based Outpatient Clinic","Winchester","Stephens City VA Clinic","Virginia"
"1094","Community Based Outpatient Clinic","Wytheville","Wytheville VA Clinic","Virginia"
"1095","Community Based Outpatient Clinic","Kings Hill","Saint Croix VA Clinic","Washington"
"1096","Community Based Outpatient Clinic","Saint Thomas","Saint Thomas VA Clinic","Washington"
"1097","VA Medical Center","Seattle","Seattle VA Medical Center","West Virginia"
"1098","VA Medical Center","Spokane","Mann-Grandstaff VA Medical Center","West Virginia"
"1099","VA Medical Center","Tacoma","American Lake VA Medical Center","West Virginia"
"1100","VA Medical Center","Vancouver","Vancouver VA Medical Center","West Virginia"
"1101","VA Medical Center","Walla Walla","Jonathan M. Wainwright Memorial VA Medical Center","West Virginia"
"1102","Community Based Outpatient Clinic","Bellevue","Bellevue VA Clinic","West Virginia"
"1103","Community Based Outpatient Clinic","Chehalis","South Sound VA Clinic","West Virginia"
"1104","Community Based Outpatient Clinic","Colville","Colville Rural Health Clinic","West Virginia"
"1105","Community Based Outpatient Clinic","Edmonds","Edmonds VA Clinic","West Virginia"
"1106","Community Based Outpatient Clinic","Everett","Everett VA Clinic","West Virginia"
"1107","Community Based Outpatient Clinic","Federal Way","Federal Way VA Clinic","West Virginia"
"1108","Community Based Outpatient Clinic","Mount Vernon","Mount Vernon VA Clinic","West Virginia"
"1109","Community Based Outpatient Clinic","Olympia","Olympia VA Clinic","West Virginia"
"1110","Community Based Outpatient Clinic","Port Angeles","North Olympic Peninsula VA Clinic","West Virginia"
"1111","Community Based Outpatient Clinic","Puyallup","Puyallup VA Clinic","West Virginia"
"1112","Community Based Outpatient Clinic","Renton","Renton VA Clinic","West Virginia"
"1113","Community Based Outpatient Clinic","Republic","Republic Rural Health Clinic","West Virginia"
"1114","Community Based Outpatient Clinic","Richland","Richland VA Clinic","West Virginia"
"1115","Community Based Outpatient Clinic","Seattle","South Lucile Street VA Clinic","West Virginia"
"1116","Community Based Outpatient Clinic","Silverdale","Silverdale VA Clinic","West Virginia"
"1117","Community Based Outpatient Clinic","Union Gap","Yakima VA Clinic","West Virginia"
"1118","Community Based Outpatient Clinic","Tacoma","Puget Sound VA Mobile Clinic","West Virginia"
"1119","Community Based Outpatient Clinic","Wenatchee","Wenatchee VA Clinic","West Virginia"
"1120","VA Medical Center","Beckley","Beckley VA Medical Center","Wisconsin"
"1121","VA Medical Center","Clarksburg","Louis A. Johnson VA Medical Center","Wisconsin"
"1122","VA Medical Center","Huntington","Hershel ""Woody"" Williams VA Medical Center","Wisconsin"
"1123","VA Medical Center","Martinsburg","Martinsburg VA Medical Center","Wisconsin"
"1124","Domiciliary","Huntington","Huntington Ninth Street VA Clinic","Wisconsin"
"1125","Community Based Outpatient Clinic","Clarksburg","Rural Mobile Unit","Wisconsin"
"1126","Community Based Outpatient Clinic","Franklin","Franklin VA Clinic","Wisconsin"
"1127","Community Based Outpatient Clinic","Gassaway","Braxton County VA Clinic","Wisconsin"
"1128","Community Based Outpatient Clinic","Lenore","Lenore VA Clinic","Wisconsin"
"1129","Community Based Outpatient Clinic","Lewisburg","Greenbrier County VA Clinic","Wisconsin"
"1130","Community Based Outpatient Clinic","Parkersburg","Wood County VA Clinic","Wisconsin"
"1131","Community Based Outpatient Clinic","Parsons","Tucker County VA Clinic","Wisconsin"
"1132","Community Based Outpatient Clinic","Petersburg","Petersburg VA Clinic","Wisconsin"
"1133","Community Based Outpatient Clinic","Princeton","Princeton VA Clinic","Wisconsin"
"1134","Community Based Outpatient Clinic","Ronceverte","Greenbrier County VA Clinic","Wisconsin"
"1135","Community Based Outpatient Clinic","South Charleston","Charleston VA Clinic","Wisconsin"
"1136","Community Based Outpatient Clinic","Westover","Monongalia County CBOC","Wisconsin"
"1137","VA Medical Center","Madison","William S. Middleton Memorial Veterans Hospital","Wyoming"
"1138","VA Medical Center","Milwaukee","Clement J. Zablocki VA Medical Center","Wyoming"
"1139","VA Medical Center","Tomah","Tomah VA Medical Center","Wyoming"
"1140","Outpatient Clinic","Green Bay","Milo C. Huempfner Outpatient Clinic","Wyoming"
"1141","Community Based Outpatient Clinic","Appleton","John H. Bradley Department of Veterans Affairs Outpatient Clinic","Wyoming"
"1142","Community Based Outpatient Clinic","Baraboo","Baraboo VA Clinic","Wyoming"
"1143","Community Based Outpatient Clinic","Beaver Dam","Beaver Dam VA Clinic","Wyoming"
"1144","Community Based Outpatient Clinic","Chippewa Falls","Chippewa Valley VA Clinic","Wyoming"
"1145","Community Based Outpatient Clinic","Cleveland","Cleveland VA Clinic","Wyoming"
"1146","Community Based Outpatient Clinic","Janesville","Janesville VA Clinic","Wyoming"
"1147","Community Based Outpatient Clinic","Kenosha","Kenosha VA Clinic","Wyoming"
"1148","Community Based Outpatient Clinic","La Crosse","River Valley VA Clinic","Wyoming"
"1149","Community Based Outpatient Clinic","Madison","Madison Central Clinic","Wyoming"
"1150","Community Based Outpatient Clinic","Madison","Madison West VA Clinic","Wyoming"
"1151","Community Based Outpatient Clinic","Owen","Clark County VA Clinic","Wyoming"
"1152","Community Based Outpatient Clinic","Rice Lake","Rice Lake VA Clinic","Wyoming"
"1153","Community Based Outpatient Clinic","Rhinelander","Rhinelander VA Clinic","Wyoming"
"1154","Community Based Outpatient Clinic","Superior","Twin Ports VA Clinic","Wyoming"
"1155","Community Based Outpatient Clinic","Union Grove","Union Grove VA Clinic","Wyoming"
"1156","Community Based Outpatient Clinic","Wausau","Wausau VA Clinic","Wyoming"
"1157","Community Based Outpatient Clinic","Wisconsin Rapids","Wisconsin Rapids VA Clinic","Wyoming"
